Commodity2,Attribute,Unit,YearProjected2,Year2,Value
Corn,Planted acres,Million acres,2023,2028/29,89.0
Corn,Planted acres,Million acres,2023,2029/30,89.0
Corn,Planted acres,Million acres,2023,2030/31,89.0
Corn,Planted acres,Million acres,2023,2031/32,89.0
Corn,Planted acres,Million acres,2023,2032/33,89.0

Commodity,YearProjected,Year,textbox2,Chart1_SeriesGroup2_label,Chart1_SeriesGroup2_Chart1_CategoryGroup1_label,Chart1_SeriesGroup2_Chart1_CategoryGroup1_Value_Y
"Corn, million acres",Planted acres (Year Projected: 2000),1998/99,80.2,,,
"Corn, million acres",Planted acres (Year Projected: 2000),1999/00,77.6,,,
"Corn, million acres",Planted acres (Year Projected: 2000),2000/01,77.0,,,
"Corn, million acres",Planted acres (Year Projected: 2000),2001/02,76.5,,,
"Corn, million acres",Planted acres (Year Projected: 2000),2002/03,76.0,,,
"Corn, million acres",Planted acres (Year Projected: 2000),2003/04,78.5,,,
"Corn, million acres",Planted acres (Year Projected: 2000),2004/05,79.0,,,
"Corn, million acres",Planted acres (Year Projected: 2000),2005/06,79.5,,,
"Corn, million acres",Planted acres (Year Projected: 2000),2006/07,79.5,,,
"Corn, million acres",Planted acres (Year Projected: 2000),2007/08,79.5,,,
"Corn, million acres",Planted acres (Year Projected: 2000),2008/09,80.0,,,
"Corn, million acres",Planted acres (Year Projected: 2000),2009/10,80.0,,,
"Corn, million acres",Planted acres (Year Projected: 2000),2010/11,,,,
"Corn, million acres",Planted acres (Year Projected: 2000),2011/12,,,,
"Corn, million acres",Planted acres (Year Projected: 2000),2012/13,,,,
"Corn, million acres",Planted acres (Year Projected: 2000),2013/14,,,,
"Corn, million acres",Planted acres (Year Projected: 2000),2014/15,,,,
"Corn, million acres",Planted acres (Year Projected: 2000),2015/16,,,,
"Corn, million acres",Planted acres (Year Projected: 2000),2016/17,,,,
"Corn, million acres",Planted acres (Year Projected: 2000),2017/18,,,,
"Corn, million acres",Planted acres (Year Projected: 2000),2018/19,,,,
"Corn, million acres",Planted acres (Year Projected: 2000),2019/20,,,,
"Corn, million acres",Planted acres (Year Projected: 2000),2020/21,,,,
"Corn, million acres",Planted acres (Year Projected: 2000),2021/22,,,,
"Corn, million acres",Planted acres (Year Projected: 2000),2022/23,,,,
"Corn, million acres",Planted acres (Year Projected: 2000),2023/24,,,,
"Corn, million acres",Planted acres (Year Projected: 2000),2024/25,,,,
"Corn, million acres",Planted acres (Year Projected: 2000),2025/26,,,,
"Corn, million acres",Planted acres (Year Projected: 2000),2026/27,,,,
"Corn, million acres",Planted acres (Year Projected: 2000),2027/28,,,,
"Corn, million acres",Planted acres (Year Projected: 2000),2028/29,,,,
"Corn, million acres",Planted acres (Year Projected: 2000),2029/30,,,,
"Corn, million acres",Planted acres (Year Projected: 2000),2030/31,,,,
"Corn, million acres",Planted acres (Year Projected: 2000),2031/32,,,,
"Corn, million acres",Planted acres (Year Projected: 2000),2032/33,,,,
"Corn, million acres",Planted acres (Year Projected: 2001),1998/99,,,,
"Corn, million acres",Planted acres (Year Projected: 2001),1999/00,77.4,,,
"Corn, million acres",Planted acres (Year Projected: 2001),2000/01,79.6,,,
"Corn, million acres",Planted acres (Year Projected: 2001),2001/02,78.5,,,
"Corn, million acres",Planted acres (Year Projected: 2001),2002/03,78.5,,,
"Corn, million acres",Planted acres (Year Projected: 2001),2003/04,79.5,,,
"Corn, million acres",Planted acres (Year Projected: 2001),2004/05,80.5,,,
"Corn, million acres",Planted acres (Year Projected: 2001),2005/06,80.0,,,
"Corn, million acres",Planted acres (Year Projected: 2001),2006/07,80.0,,,
"Corn, million acres",Planted acres (Year Projected: 2001),2007/08,80.5,,,
"Corn, million acres",Planted acres (Year Projected: 2001),2008/09,80.5,,,
"Corn, million acres",Planted acres (Year Projected: 2001),2009/10,81.0,,,
"Corn, million acres",Planted acres (Year Projected: 2001),2010/11,81.0,,,
"Corn, million acres",Planted acres (Year Projected: 2001),2011/12,,,,
"Corn, million acres",Planted acres (Year Projected: 2001),2012/13,,,,
"Corn, million acres",Planted acres (Year Projected: 2001),2013/14,,,,
"Corn, million acres",Planted acres (Year Projected: 2001),2014/15,,,,
"Corn, million acres",Planted acres (Year Projected: 2001),2015/16,,,,
"Corn, million acres",Planted acres (Year Projected: 2001),2016/17,,,,
"Corn, million acres",Planted acres (Year Projected: 2001),2017/18,,,,
"Corn, million acres",Planted acres (Year Projected: 2001),2018/19,,,,
"Corn, million acres",Planted acres (Year Projected: 2001),2019/20,,,,
"Corn, million acres",Planted acres (Year Projected: 2001),2020/21,,,,
"Corn, million acres",Planted acres (Year Projected: 2001),2021/22,,,,
"Corn, million acres",Planted acres (Year Projected: 2001),2022/23,,,,
"Corn, million acres",Planted acres (Year Projected: 2001),2023/24,,,,
"Corn, million acres",Planted acres (Year Projected: 2001),2024/25,,,,
"Corn, million acres",Planted acres (Year Projected: 2001),2025/26,,,,
"Corn, million acres",Planted acres (Year Projected: 2001),2026/27,,,,
"Corn, million acres",Planted acres (Year Projected: 2001),2027/28,,,,
"Corn, million acres",Planted acres (Year Projected: 2001),2028/29,,,,
"Corn, million acres",Planted acres (Year Projected: 2001),2029/30,,,,
"Corn, million acres",Planted acres (Year Projected: 2001),2030/31,,,,
"Corn, million acres",Planted acres (Year Projected: 2001),2031/32,,,,
"Corn, million acres",Planted acres (Year Projected: 2001),2032/33,,,,
"Corn, million acres",Planted acres (Year Projected: 2002),1998/99,,,,
"Corn, million acres",Planted acres (Year Projected: 2002),1999/00,,,,
"Corn, million acres",Planted acres (Year Projected: 2002),2000/01,79.5,,,
"Corn, million acres",Planted acres (Year Projected: 2002),2001/02,76.0,,,
"Corn, million acres",Planted acres (Year Projected: 2002),2002/03,77.5,,,
"Corn, million acres",Planted acres (Year Projected: 2002),2003/04,77.5,,,
"Corn, million acres",Planted acres (Year Projected: 2002),2004/05,78.5,,,
"Corn, million acres",Planted acres (Year Projected: 2002),2005/06,79.0,,,
"Corn, million acres",Planted acres (Year Projected: 2002),2006/07,79.5,,,
"Corn, million acres",Planted acres (Year Projected: 2002),2007/08,79.0,,,
"Corn, million acres",Planted acres (Year Projected: 2002),2008/09,79.5,,,
"Corn, million acres",Planted acres (Year Projected: 2002),2009/10,79.5,,,
"Corn, million acres",Planted acres (Year Projected: 2002),2010/11,80.0,,,
"Corn, million acres",Planted acres (Year Projected: 2002),2011/12,80.0,,,
"Corn, million acres",Planted acres (Year Projected: 2002),2012/13,,,,
"Corn, million acres",Planted acres (Year Projected: 2002),2013/14,,,,
"Corn, million acres",Planted acres (Year Projected: 2002),2014/15,,,,
"Corn, million acres",Planted acres (Year Projected: 2002),2015/16,,,,
"Corn, million acres",Planted acres (Year Projected: 2002),2016/17,,,,
"Corn, million acres",Planted acres (Year Projected: 2002),2017/18,,,,
"Corn, million acres",Planted acres (Year Projected: 2002),2018/19,,,,
"Corn, million acres",Planted acres (Year Projected: 2002),2019/20,,,,
"Corn, million acres",Planted acres (Year Projected: 2002),2020/21,,,,
"Corn, million acres",Planted acres (Year Projected: 2002),2021/22,,,,
"Corn, million acres",Planted acres (Year Projected: 2002),2022/23,,,,
"Corn, million acres",Planted acres (Year Projected: 2002),2023/24,,,,
"Corn, million acres",Planted acres (Year Projected: 2002),2024/25,,,,
"Corn, million acres",Planted acres (Year Projected: 2002),2025/26,,,,
"Corn, million acres",Planted acres (Year Projected: 2002),2026/27,,,,
"Corn, million acres",Planted acres (Year Projected: 2002),2027/28,,,,
"Corn, million acres",Planted acres (Year Projected: 2002),2028/29,,,,
"Corn, million acres",Planted acres (Year Projected: 2002),2029/30,,,,
"Corn, million acres",Planted acres (Year Projected: 2002),2030/31,,,,
"Corn, million acres",Planted acres (Year Projected: 2002),2031/32,,,,
"Corn, million acres",Planted acres (Year Projected: 2002),2032/33,,,,
"Corn, million acres",Planted acres (Year Projected: 2003),1998/99,,,,
"Corn, million acres",Planted acres (Year Projected: 2003),1999/00,,,,
"Corn, million acres",Planted acres (Year Projected: 2003),2000/01,,,,
"Corn, million acres",Planted acres (Year Projected: 2003),2001/02,75.8,,,
"Corn, million acres",Planted acres (Year Projected: 2003),2002/03,78.8,,,
"Corn, million acres",Planted acres (Year Projected: 2003),2003/04,80.5,,,
"Corn, million acres",Planted acres (Year Projected: 2003),2004/05,80.0,,,
"Corn, million acres",Planted acres (Year Projected: 2003),2005/06,79.0,,,
"Corn, million acres",Planted acres (Year Projected: 2003),2006/07,79.0,,,
"Corn, million acres",Planted acres (Year Projected: 2003),2007/08,79.0,,,
"Corn, million acres",Planted acres (Year Projected: 2003),2008/09,79.5,,,
"Corn, million acres",Planted acres (Year Projected: 2003),2009/10,80.0,,,
"Corn, million acres",Planted acres (Year Projected: 2003),2010/11,80.0,,,
"Corn, million acres",Planted acres (Year Projected: 2003),2011/12,80.0,,,
"Corn, million acres",Planted acres (Year Projected: 2003),2012/13,80.5,,,
"Corn, million acres",Planted acres (Year Projected: 2003),2013/14,,,,
"Corn, million acres",Planted acres (Year Projected: 2003),2014/15,,,,
"Corn, million acres",Planted acres (Year Projected: 2003),2015/16,,,,
"Corn, million acres",Planted acres (Year Projected: 2003),2016/17,,,,
"Corn, million acres",Planted acres (Year Projected: 2003),2017/18,,,,
"Corn, million acres",Planted acres (Year Projected: 2003),2018/19,,,,
"Corn, million acres",Planted acres (Year Projected: 2003),2019/20,,,,
"Corn, million acres",Planted acres (Year Projected: 2003),2020/21,,,,
"Corn, million acres",Planted acres (Year Projected: 2003),2021/22,,,,
"Corn, million acres",Planted acres (Year Projected: 2003),2022/23,,,,
"Corn, million acres",Planted acres (Year Projected: 2003),2023/24,,,,
"Corn, million acres",Planted acres (Year Projected: 2003),2024/25,,,,
"Corn, million acres",Planted acres (Year Projected: 2003),2025/26,,,,
"Corn, million acres",Planted acres (Year Projected: 2003),2026/27,,,,
"Corn, million acres",Planted acres (Year Projected: 2003),2027/28,,,,
"Corn, million acres",Planted acres (Year Projected: 2003),2028/29,,,,
"Corn, million acres",Planted acres (Year Projected: 2003),2029/30,,,,
"Corn, million acres",Planted acres (Year Projected: 2003),2030/31,,,,
"Corn, million acres",Planted acres (Year Projected: 2003),2031/32,,,,
"Corn, million acres",Planted acres (Year Projected: 2003),2032/33,,,,
"Corn, million acres",Planted acres (Year Projected: 2004),1998/99,,,,
"Corn, million acres",Planted acres (Year Projected: 2004),1999/00,,,,
"Corn, million acres",Planted acres (Year Projected: 2004),2000/01,,,,
"Corn, million acres",Planted acres (Year Projected: 2004),2001/02,,,,
"Corn, million acres",Planted acres (Year Projected: 2004),2002/03,79.1,,,
"Corn, million acres",Planted acres (Year Projected: 2004),2003/04,79.1,,,
"Corn, million acres",Planted acres (Year Projected: 2004),2004/05,79.5,,,
"Corn, million acres",Planted acres (Year Projected: 2004),2005/06,80.0,,,
"Corn, million acres",Planted acres (Year Projected: 2004),2006/07,80.0,,,
"Corn, million acres",Planted acres (Year Projected: 2004),2007/08,80.5,,,
"Corn, million acres",Planted acres (Year Projected: 2004),2008/09,81.0,,,
"Corn, million acres",Planted acres (Year Projected: 2004),2009/10,81.0,,,
"Corn, million acres",Planted acres (Year Projected: 2004),2010/11,81.0,,,
"Corn, million acres",Planted acres (Year Projected: 2004),2011/12,81.5,,,
"Corn, million acres",Planted acres (Year Projected: 2004),2012/13,81.5,,,
"Corn, million acres",Planted acres (Year Projected: 2004),2013/14,81.0,,,
"Corn, million acres",Planted acres (Year Projected: 2004),2014/15,,,,
"Corn, million acres",Planted acres (Year Projected: 2004),2015/16,,,,
"Corn, million acres",Planted acres (Year Projected: 2004),2016/17,,,,
"Corn, million acres",Planted acres (Year Projected: 2004),2017/18,,,,
"Corn, million acres",Planted acres (Year Projected: 2004),2018/19,,,,
"Corn, million acres",Planted acres (Year Projected: 2004),2019/20,,,,
"Corn, million acres",Planted acres (Year Projected: 2004),2020/21,,,,
"Corn, million acres",Planted acres (Year Projected: 2004),2021/22,,,,
"Corn, million acres",Planted acres (Year Projected: 2004),2022/23,,,,
"Corn, million acres",Planted acres (Year Projected: 2004),2023/24,,,,
"Corn, million acres",Planted acres (Year Projected: 2004),2024/25,,,,
"Corn, million acres",Planted acres (Year Projected: 2004),2025/26,,,,
"Corn, million acres",Planted acres (Year Projected: 2004),2026/27,,,,
"Corn, million acres",Planted acres (Year Projected: 2004),2027/28,,,,
"Corn, million acres",Planted acres (Year Projected: 2004),2028/29,,,,
"Corn, million acres",Planted acres (Year Projected: 2004),2029/30,,,,
"Corn, million acres",Planted acres (Year Projected: 2004),2030/31,,,,
